rep_shape,config_id,BLOCK_M,BLOCK_N,BLOCK_K,GROUP_M,runtime_cost_us,p99_us,speedup_vs_torch,torch_runtime_us,invalid_config,notes
16x6144x4096,c15,128,96,128,4,81.362,83.30162,0.2506083921240874,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c04,64,64,64,4,95.681,96.8442,0.21310396003386253,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c09,128,64,64,4,95.751,97.9648,0.21294816764315777,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c21,256,64,64,4,96.431,99.12317999999999,0.2114465265319244,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c07,128,128,32,4,109.15100000000001,116.7868,0.18680543467306757,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c11,32,128,32,4,111.12100000000001,115.4308,0.18349366906345335,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c06,64,128,32,4,111.551,115.30202,0.18278634884492295,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c03,64,64,32,4,187.153,193.57598,0.10894829364210032,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c05,128,64,32,4,188.544,192.6116,0.10814451799049558,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c02,32,64,32,4,190.09300000000002,197.36579999999998,0.10726328691745618,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c01,64,32,32,4,340.847,352.17400000000004,0.05982156216718939,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
16x6144x4096,c00,32,32,32,4,342.668,350.24378,0.05950365951883456,20.39,0,"path_reordered,ASCEND_HOME_PATH_set,ASCEND_TOOLKIT_HOME_set;launch=fixed_cores(24),swizzle2d_g=4,dir=1;timing=npu_profiler_batch_offline_kernel_step"
